Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.05860789378583E-17,-2.77555756156289E-17,0.01,0,0,0,12.8,0.683093333333333,8.7633604077079E-17,1.26210153439388E-15,0.683093333333333,-3.55271367880212E-19,1.36533333333333,0,0,0,0,0,0,package://orochi/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://orochi/meshes/base_link.STL,,base-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_0,2.21364575388767E-08,-2.79407750550356E-07,0.0924156438654813,0,0,0,1.88014486866152,0.0151317721890805,1.2237952342225E-08,2.08088296155E-09,0.0151316127478672,-2.62643831043891E-08,0.010038350425731,0,0,0,0,0,0,package://orochi/meshes/Link_0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://orochi/meshes/Link_0.STL,,orochi-01-00-J1组装-GUI-1,坐标系2,基准轴2,joint_0,fixed,0,0,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link_1,0.0228471602671468,0.000500609688309126,0.0788576426309777,0,0,0,2.51197128388461,0.012008081154807,-2.56915293947423E-05,-0.00152433945966359,0.0101247306598904,-8.26381083889653E-06,0.00695225382377171,0,0,0,0,0,0,package://orochi/meshes/Link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://orochi/meshes/Link_1.STL,,orochi-02-00-J2组装-GUI-1,坐标系3,基准轴3,joint_1,revolute,0,0,0.23849,0,0,0,Link_0,0,0,1,1000,2,-2.967,2.967,,,,,,,,
Link_2,7.89001450738079E-05,-0.171949488893076,0.0110023501027868,0,0,0,3.31822697321063,0.0184210473135389,1.70853829649417E-05,4.0781669305235E-06,0.00835204214910708,-0.00285248464316658,0.0199973474226765,0,0,0,0,0,0,package://orochi/meshes/Link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://orochi/meshes/Link_2.STL,,orochi-03-00-J3组装-GUI-1;orochi-04-00-J4组装-1,坐标系4,基准轴4,joint_2,revolute,0.00024,0,0.161,-1.5708,0,1.5708,Link_1,0,0,1,1000,2,-2.094,2.094,,,,,,,,
Link_3,5.3119E-06,0.10069,-0.018547,0,0,0,1.8781,0.01034,2.518E-07,-5.7602E-08,0.003594,-0.0016927,0.01059,0,0,0,0,0,0,package://orochi/meshes/Link_3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://orochi/meshes/Link_3.STL,,orochi-05-00-J5组装-GUI-1,坐标系5,基准轴5,joint_3,revolute,0,-0.3995,-0.00051,3.1416,0,0,Link_2,0,0,-1,1000,2,-2.094,2.094,,,,,,,,
Link_4,0.0194131556789511,-4.28172792902E-05,-0.107325643864137,0,0,0,0.892428647319901,0.00338370651670969,-5.5096935945017E-07,0.000365304335883195,0.0030183348925586,-2.20632524300689E-06,0.00135669086771203,0,0,0,0,0,0,package://orochi/meshes/Link_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://orochi/meshes/Link_4.STL,,orochi-06-00-J6组装-GUI-1,坐标系6,基准轴6,joint_4,revolute,-2.9588E-05,0.22974,-0.00010578,1.5708,-1.5708,0,Link_3,0,0,-1,1000,2,-2.967,2.967,,,,,,,,
Link_5,1.376E-05,-0.04188,0.025899,0,0,0,2.3887,0.0090274,2.9426E-06,-2.0317E-06,0.0030811,-0.0016392,0.009105,0,0,0,0,0,0,package://orochi/meshes/Link_5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://orochi/meshes/Link_5.STL,,orochi-07-00-J7组装-GUI-2,坐标系7,基准轴7,joint_5,revolute,0.00060578,-3.2208E-05,-0.15975,1.5708,0,-1.5708,Link_4,0,0,-1,1000,2,-2.094,2.094,,,,,,,,
Link_6,4.02145722768659E-06,4.0177895784755E-06,0.00756364496970607,0,0,0,0.22588441636481,0.000104188659613564,7.81396930623338E-09,-1.39484791249641E-08,0.000104188604048639,-1.39362927621745E-08,0.000193927698384729,0,0,0,0,0,0,package://orochi/meshes/Link_6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://orochi/meshes/Link_6.STL,,orochi-07-00-J7末端-GUI-2,坐标系8,基准轴8,joint_6,revolute,0,-0.1845,-0.00025,1.5708,1.5708,0,Link_5,0,0,-1,1000,2,-3.1415,3.1415,,,,,,,,
